source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
repeat,14m,14000000,0.5,140000000,2,,140000000,280000000,1.0,10.0,14M_seed42_case4_dolma_epoch2_wd0.2_lr3e-3,0.003,0.2,train_0.14B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.14B,3478624,6.9261,0.978732,23.175034,277022488,6.899362,0.003868,True
repeat,14m,14000000,0.5,140000000,4,,420000000,560000000,3.0,10.0,14M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.14B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.14B,3478624,6.0471,0.93798,23.175034,533951580,6.008108,0.006469,True
repeat,14m,14000000,0.5,140000000,8,,980000000,1120000000,7.0,10.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.14B,3478624,5.3494,0.863099,23.175034,985836859,5.377615,-0.005261,True
repeat,14m,14000000,0.5,140000000,16,,2100000000,2240000000,15.0,10.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.14B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.14B,3478624,4.7967,0.736218,23.175034,1686057469,4.948907,-0.031239,True
repeat,14m,14000000,0.5,140000000,32,,4340000000,4480000000,31.0,10.0,14M_seed42_case4_dolma_epoch32_wd0.4_lr3e-3,0.003,0.4,train_0.14B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.14B,3478624,4.5544,0.551369,23.175034,2532943360,4.684722,-0.028213,True
repeat,14m,14000000,1.0,280000000,2,,280000000,560000000,1.0,20.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.28B,3478624,6.0532,0.971758,17.368913,552092111,5.969223,0.01397,True
repeat,14m,14000000,1.0,280000000,4,,840000000,1120000000,3.0,20.0,14M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.28B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.28B,3478624,5.3521,0.918403,17.368913,1051458928,5.320658,0.005892,True
repeat,14m,14000000,1.0,280000000,8,,1960000000,2240000000,7.0,20.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.28B,3478624,4.7893,0.82304,17.368913,1893157706,4.868853,-0.016474,True
repeat,14m,14000000,1.0,280000000,16,,4200000000,4480000000,15.0,20.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.28B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.28B,3478624,4.4627,0.669703,17.368913,3092753068,4.571339,-0.024052,True
repeat,14m,14000000,1.0,280000000,32,,8680000000,8960000000,31.0,20.0,14M_seed42_case4_dolma_epoch32_wd0.2_lr3e-3,0.003,0.2,train_0.28B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.28B,3478624,4.3076,0.466254,17.368913,4327083979,4.401642,-0.021597,True
repeat,14m,14000000,2.0,560000000,2,,560000000,1120000000,1.0,40.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.56B,3478624,5.3081,0.962555,13.017419,1099030733,5.282468,0.004841,True
repeat,14m,14000000,2.0,560000000,4,,1680000000,2240000000,3.0,40.0,14M_seed42_case4_dolma_epoch4_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.56B,3478624,4.7446,0.893134,13.017419,2060465808,4.812851,-0.014283,True
repeat,14m,14000000,2.0,560000000,8,,3920000000,4480000000,7.0,40.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.56B,3478624,4.4087,0.773484,13.017419,3592055599,4.492625,-0.018857,True
repeat,14m,14000000,2.0,560000000,16,,8400000000,8960000000,15.0,40.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.56B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.56B,3478624,4.2379,0.593674,13.017419,5546857998,4.291265,-0.012514,True
repeat,14m,14000000,2.0,560000000,32,,17360000000,17920000000,31.0,40.0,14M_seed42_case4_dolma_epoch32_wd0.2_lr3e-3,0.003,0.2,train_0.56B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.56B,3478624,4.1815,0.381109,13.017419,7176043950,4.188802,-0.001745,True
repeat,14m,14000000,4.0,1120000000,2,,1120000000,2240000000,1.0,80.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.12B,3478624,4.7007,0.950457,9.75612,2184512047,4.775386,-0.015763,True
repeat,14m,14000000,4.0,1120000000,4,,3360000000,4480000000,3.0,80.0,14M_seed42_case4_dolma_epoch4_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.12B,3478624,4.4082,0.860869,9.75612,4012519874,4.437636,-0.006655,True
repeat,14m,14000000,4.0,1120000000,8,,7840000000,8960000000,7.0,80.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.12B,3478624,4.2228,0.71363,9.75612,6714861227,4.214137,0.002054,True
repeat,14m,14000000,4.0,1120000000,16,,16800000000,17920000000,15.0,80.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.12B,3478624,4.1109,0.510623,9.75612,9698471321,4.082728,0.006877,True
repeat,14m,14000000,8.0,2240000000,2,,2240000000,4480000000,1.0,160.0,14M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.24B,3478624,4.3909,0.934632,7.311885,4333575298,4.400939,-0.002284,True
repeat,14m,14000000,8.0,2240000000,4,,6720000000,8960000000,3.0,160.0,14M_seed42_case4_dolma_epoch4_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.24B,3478624,4.2248,0.820254,7.311885,7752107305,4.160263,0.015394,True
repeat,14m,14000000,8.0,2240000000,8,,15680000000,17920000000,7.0,160.0,14M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.24B,3478624,4.0934,0.643539,7.311885,12330695238,4.007639,0.021174,True
repeat,14m,14000000,8.0,2240000000,16,,33600000000,35840000000,15.0,160.0,14M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.24B,3478624,4.0389,0.424797,7.311885,16513187222,3.926333,0.028267,True
repeat,30m,30000000,0.05,30000000,2,,30000000,60000000,1.0,1.0,30M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,8.0091,0.988827,44.414911,59664796,9.938004,-0.215788,False
repeat,30m,30000000,0.05,30000000,4,,90000000,120000000,3.0,1.0,30M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,7.5634,0.966975,44.414911,117027775,8.152469,-0.075,True
repeat,30m,30000000,0.05,30000000,8,,210000000,240000000,7.0,1.0,30M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,6.675,0.925179,44.414911,224287675,6.862494,-0.027702,True
repeat,30m,30000000,0.05,30000000,16,,450000000,480000000,15.0,1.0,30M_seed42_case4_dolma_epoch16_wd0.2_lr3e-3,0.003,0.2,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,5.9493,0.848645,44.414911,411890254,5.947787,0.000254,True
repeat,30m,30000000,0.05,30000000,32,,930000000,960000000,31.0,1.0,30M_seed42_case4_dolma_epoch32_wd0.4_lr3e-3,0.003,0.4,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,5.4662,0.719812,44.414911,699424896,5.327016,0.025793,True
repeat,30m,30000000,0.05,30000000,64,,1890000000,1920000000,63.0,1.0,30M_seed42_case4_dolma_epoch64_wd1.6_lr3e-3,0.003,1.6,train_0.03B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.03B,13279917,5.3387,0.534325,44.414911,1039874142,4.947753,0.076049,True
repeat,30m,30000000,0.1,60000000,2,,60000000,120000000,1.0,2.0,30M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,7.5623,0.985129,33.28749,119107718,8.112478,-0.070228,True
repeat,30m,30000000,0.1,60000000,4,,180000000,240000000,3.0,2.0,30M_seed42_case4_dolma_epoch4_wd0.4_lr3e-3,0.003,0.4,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,6.6649,0.956262,33.28749,232127122,6.804049,-0.020663,True
repeat,30m,30000000,0.1,60000000,8,,420000000,480000000,7.0,2.0,30M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,5.9173,0.901854,33.28749,438778648,5.865862,0.008731,True
repeat,30m,30000000,0.1,60000000,16,,900000000,960000000,15.0,2.0,30M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,5.2971,0.80504,33.28749,784535948,5.210348,0.016513,True
repeat,30m,30000000,0.1,60000000,32,,1860000000,1920000000,31.0,2.0,30M_seed42_case4_dolma_epoch32_wd0.2_lr3e-3,0.003,0.2,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,4.8047,0.650664,33.28749,1270235881,4.779985,0.005157,True
repeat,30m,30000000,0.1,60000000,64,,3780000000,3840000000,63.0,2.0,30M_seed42_case4_dolma_epoch64_wd0.8_lr3e-3,0.003,0.8,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,13279917,4.6177,0.448758,33.28749,1756305660,4.537653,0.017487,True
repeat,30m,30000000,0.25,150000000,2,,150000000,300000000,1.0,5.0,30M_seed42_case4_dolma_epoch2_wd0.1_lr3e-3,0.003,0.1,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,6.5023,0.978327,22.735919,296749091,6.410892,0.014158,True
