source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
1epoch,60m,60000000,0.05,60000000,1,,0,60000000,0.0,1.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.06B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.06B,3478624,8.0672,,,60000000,9.639044,-0.178016,False
1epoch,60m,60000000,0.1,120000000,1,,0,120000000,0.0,2.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.12B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.12B,3478624,7.4437,,,120000000,7.813795,-0.048523,True
1epoch,60m,60000000,0.25,300000000,1,,0,300000000,0.0,5.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,3478624,6.4191,,,300000000,6.112576,0.04893,True
1epoch,60m,60000000,0.5,600000000,1,,0,600000000,0.0,10.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,3478624,5.7064,,,600000000,5.21039,0.090934,True
1epoch,60m,60000000,1.0,1200000000,1,,0,1200000000,0.0,20.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,3478624,4.9059,,,1200000000,4.544355,0.076553,True
1epoch,60m,60000000,2.0,2400000000,1,,0,2400000000,0.0,40.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_2.4B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.4B,3478624,4.0581,,,2400000000,4.052656,0.001342,True
1epoch,60m,60000000,4.0,4800000000,1,,0,4800000000,0.0,80.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_4.8B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-4.8B,3478624,3.6284,,,4800000000,3.689661,-0.016743,True
1epoch,60m,60000000,8.0,9600000000,1,,0,9600000000,0.0,160.0,60M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_9.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-9.6B,3478624,3.4235,,,9600000000,3.421681,0.000532,True
1epoch,100m,100000000,0.05,100000000,1,,0,100000000,0.0,1.0,100M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.1B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.1B,3478624,7.618,,,100000000,8.067185,-0.057291,True
1epoch,100m,100000000,0.1,200000000,1,,0,200000000,0.0,2.0,100M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.2B,3478624,6.8242,,,200000000,6.607728,0.032235,True
1epoch,100m,100000000,0.25,500000000,1,,0,500000000,0.0,5.0,100M_seed42_case4_dolma_epoch1_wd0.1_lr1e-3,0.001,0.1,train_0.5B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.5B,3478624,5.8502,,,500000000,5.247445,0.108735,True
