source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
paraphrase,14m,14000000,4.0,1120000000,1,1,345864333,1465864333,0.308807,80.0,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,train_1.12B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,5.1291,0.983676,9.3554,1460218399,5.054096,0.014731,True
paraphrase,14m,14000000,4.0,1120000000,1,2,719955805,1839955805,0.642818,80.0,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,train_1.12B_seed1.npy;train_1.12B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,4.8761,0.966418,9.3554,1815778318,4.897223,-0.004323,True
paraphrase,14m,14000000,4.0,1120000000,1,4,1460297981,2580297981,1.303837,80.0,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,0.003,0.1,train_1.12B.npy,preprocessed/dolma2-0625/resharded,train_1.12B_seed1.npy;train_1.12B_seed2.npy;train_1.12B_seed3.npy;train_1.12B_seed4.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-4,,3478624,4.6737,0.933444,9.3554,2483106109,4.696557,-0.004879,True
paraphrase,14m,14000000,4.0,1120000000,1,8,2926007454,4046007454,2.612507,80.0,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,0.003,0.2,train_1.12B.npy,preprocessed/dolma2-0625/resharded,train_1.12B_seed1.npy;train_1.12B_seed2.npy;train_1.12B_seed3.npy;train_1.12B_seed4.npy;train_1.12B_seed5.npy;train_1.12B_seed6.npy;train_1.12B_seed7.npy;train_1.12B_seed8.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-8,,3478624,4.5631,0.872512,9.3554,3672977595,4.481343,0.018079,True
paraphrase,14m,14000000,8.0,2240000000,1,1,688799929,2928799929,0.3075,160.0,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,train_2.24B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,4.6385,0.960523,3.791515,2901608391,4.606493,0.006924,True
paraphrase,14m,14000000,8.0,2240000000,1,2,1434752185,3674752185,0.640514,160.0,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,train_2.24B_seed1.npy;train_2.24B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,4.5063,0.920095,3.791515,3560108782,4.49718,0.002026,True
paraphrase,14m,14000000,8.0,2240000000,1,4,2912763016,5152763016,1.300341,160.0,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,train_2.24B_seed1.npy;train_2.24B_seed2.npy;train_2.24B_seed3.npy;train_2.24B_seed4.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-4,,3478624,4.4274,0.846551,3.791515,4705803890,4.363,0.014653,True
paraphrase,14m,14000000,8.0,2240000000,1,8,5840626679,8080626679,2.607423,160.0,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,0.003,0.1,train_2.24B.npy,preprocessed/dolma2-0625/resharded,train_2.24B_seed1.npy;train_2.24B_seed2.npy;train_2.24B_seed3.npy;train_2.24B_seed4.npy;train_2.24B_seed5.npy;train_2.24B_seed6.npy;train_2.24B_seed7.npy;train_2.24B_seed8.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-8,,3478624,4.2946,0.72309,3.791515,6463299575,4.229036,0.015384,True
paraphrase,30m,30000000,0.5,300000000,1,1,92229264,392229264,0.307431,10.0,30M_seed42_dolma_para_K1_wd0.1_lr3e-3,0.003,0.1,train_0.3B.npy,preprocessed/dolma2-0625/resharded,train_0.3B_seed1.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1,,3478624,6.1489,0.997377,58.502059,391987354,6.013552,0.022258,True
paraphrase,30m,30000000,0.5,300000000,1,2,192300911,492300911,0.641003,10.0,30M_seed42_dolma_para_K2_wd0.1_lr3e-3,0.003,0.1,train_0.3B.npy,preprocessed/dolma2-0625/resharded,train_0.3B_seed1.npy;train_0.3B_seed2.npy,preprocessed/dolma2-0625/resharded/paraphrased/sized_smollm2_mixed,sized_smollm2_mixed,1-2,,3478624,5.85,0.994541,58.502059,491251234,5.72505,0.02159,True
